State,District,Latitude,Longitude,District code,Households_with_Internet,Households_with_Computer,Hindus,Population,Rural_Households,Urban_Households,Married_couples_None_Households,sex_ratio,literacy_rate
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1106,11302,1045117,1125313,186660,28132,12597,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,2941,27263,1684589,3071029,668232,69838,59999,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1580,21654,1486989,1666886,373696,21007,21998,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1093,14073,531236,1690400,401793,43357,39845,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1186,8862,956396,1000912,175882,31763,18133,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,1397,23309,1753829,2001762,486278,24000,26324,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,5319,65548,3652168,4487379,1047552,41234,74516,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,2653,17946,1252319,1367765,222281,85782,21424,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,10290,73012,4032773,4801062,998694,120700,86953,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,4156,43848,2669775,2877653,514141,102522,43233,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,1841,28411,1964620,2219146,379551,45323,23578,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3495,41143,3047427,3935042,839514,96620,55494,91.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,40692,132582,5356075,5838465,657991,552103,77267,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,7719,70258,4086453,5099371,1142260,101565,73159,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,4170,33664,1989420,3264619,712847,85749,59786,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,4594,36279,2645415,2959918,512383,95678,33837,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1668,19415,1629254,1900661,432651,38046,23047,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,5379,50918,3800598,4261566,1012979,43486,62517,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,4509,37442,3534772,3951862,701323,76299,54359,95.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,631,8873,596102,636342,108293,24345,8850,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,478,6698,552492,656246,158484,7516,14705,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3460,42461,2672311,3423574,807294,49670,61687,90.0,42.0
